,Address,Lat,Lng
73,"7002 VANCOUVER RD, SPRINGFIELD, VA 22152",38.7647594,-77.2275037
74,"8346 Traford Lane, SPRINGFIELD, VA 22152",38.7816933,-77.2326568
75,"6230 Rolling Road, SPRINGFIELD, VA 22152",38.780728,-77.2357313
76,"7860 ROLLING WOODS CT UNIT 404, SPRINGFIELD, VA 22152",38.761394,-77.215285
77,"6419 WAINFLEET CT, SPRINGFIELD, VA 22152",38.775933,-77.230395
78,"6817 Sydenstricker Rd, Springfield, VA 22152",38.7672046,-77.2553551
79,"6412 OLD SCOTTS CT, SPRINGFIELD, VA 22152",38.777333,-77.2548051
80,"6355 Rolling Road, Springfield, VA 22152",38.7782724,-77.2315315
81,"6347 Rolling Road , Springfield, VA, 22152, Springfield, VA 22152",38.778542,-77.2315289
82,"6345 ROLLING ROAD SUITE C, SPRINGFIELD, VA 22152",38.7785168,-77.2315791
83,"6704 RED JACKET RD, SPRINGFIELD, VA 22152",38.7700659,-77.2524816
84,"6357 Rolling Road, West Springfield, VA 22152",38.7781648,-77.2314322
85,"6349 ROLLING RD, SPRINGFIELD, VA 22152",38.7784705,-77.2315967
86,"8749 Center Road, Springfield, VA 22152",38.7806085,-77.247767
87,"DBA COSMO CLEANERS, SPRINGFIELD, VA 22152",38.7809737,-77.2314941
88,"8306 Brixton Street, West Springfield, VA 22152",38.7737331,-77.2337009
89,"6039 Sweet Oak Ct, Springfield, VA 22152",38.785053,-77.251317
90,"7903 JANSEN DR, SPRINGFIELD, VA 22152",38.7746405,-77.2170956
91,"8338 TRAFORD LN, SPRINGFIELD, VA 22152",38.782418,-77.232868
92,"8336 CARRLEIGH PKWY, SPRINGFIELD, VA 22152",38.7823596,-77.2306809
93,"8820 Moverly Court, West Springfield, VA 22152",38.7815107,-77.2497427
94,"7324 stream way, springfield, VA 22152",38.7595864,-77.2227507
95,"7324 stream way, springfield, VA 22152",38.7595864,-77.2227507
96,"7324 stream way, springfield, VA 22152",38.7595864,-77.2227507
97,"8600 Etta Drive, SPRINGFIELD, VA 22152",38.7692583,-77.2444443
98,"6901 Sydenstricker Road, Springfield, VA 22152",38.7665692,-77.2532449
99,"8508 WESTOVER CT, SPRINGFIELD, VA 22152",38.7938509,-77.236536
100,"9071 Blarney Stone Drive, Springfield, VA 22152",38.774496,-77.257167
101,"8301 TRAFORD LN, SPRINGFIELD, VA 22152",38.7815858,-77.2302318
102,"8328 TRAFORD LN, SPRINGFIELD, VA 22152",38.7824376,-77.2325355
103,"8102 Springfield Village Drive, West Springfield, VA 22152",38.7661131,-77.2240119
104,"8102 Springfield Village Drive, West Springfield, VA 22152",38.7661131,-77.2240119
105,"6454 Blarney Stone Court, Springfield, VA 22152",38.77634,-77.251477
106,"6913 Rolling Road, Springfield, VA 22152",38.766251,-77.2223503
107,"8102 Springfield Village Drive, West Springfield, VA 22152",38.7661131,-77.2240119
108,"8112 Blairton Rd, Springfield, VA 22152",38.7846565,-77.2254491
109,"8342 TRAFORD LN, SPRINGFIELD, VA 22152",38.782418,-77.232868
110,"8335 WRENFORD COURT, SPRINGFIELD, VA 22152",38.788537,-77.232792
111,"6230 ROLLING RD STE F, SPRINGFIELD, VA 22152",38.780728,-77.2357313
112,"6103 BARDU AVE, SPRINGFIELD, VA 22152",38.7856208,-77.2221706
113,"8211 TAUNTON PL, SPRINGFIELD, VA 22152",38.775275,-77.2283209
114,"6230 Rolling Rd. #R, Springfield, VA 22152",38.780728,-77.2357313
115,"6225 Garden Road, West Springfield, VA 22152",38.7815877,-77.2433459
116,"8507 Fairburn Dr, Springfield, VA 22152",38.7638284,-77.2397295
117,"6039 Sweet Oak Ct., Springfield, VA 22152",38.785053,-77.251317
118,"5822 Royal Ridge Drive, West Springfield, VA 22152",38.795297,-77.239919
119,"6212 OLD KEENE MILL CT, SPRINGFIELD, VA 22152",38.7795274,-77.2372757
120,"8136 OLD KEENE ML RD, SPRINGFIELD, VA 22152",38.7811873,-77.2273577
121,"8010 Old Keene Mill Road, Springfield, VA 22152",38.7799697,-77.221991
122,"6103 Bardu Ave, Springfield, VA 22152",38.7856208,-77.2221706
123,"5915 Veranda DR, Springfield, VA 22152",38.7899196,-77.2470771
124,"6905 Smyth St, Springfield, VA 22152",38.764455,-77.2304788
125,"6220 OLD KEENE MILL CT, SPRINGFIELD, VA 22152",38.7789645,-77.2371163
126,"7802 Painted Daisy Drive, West Springfield, VA 22152",38.762028,-77.211995
